[2026-03-23 19:55:02] CONSULTA: Actual | CIUDAD: Rosario
[2026-03-23 19:55:21] CONSULTA: Extendido | CIUDAD: Rosario
[2026-03-23 19:56:30] CONSULTA: Extendido | CIUDAD: Rosario
[2026-03-23 19:57:04] CONSULTA: Extendido | CIUDAD: Rosario
[2026-03-23 20:26:35] CONSULTA: Actual | CIUDAD: Rosario
[2026-03-23 20:27:52] CONSULTA: Actual | CIUDAD: Tokyo
[2026-03-23 20:28:01] CONSULTA: Extendido | CIUDAD: Rosario
[2026-03-23 20:28:05] CONSULTA: Actual | CIUDAD: Rosario
[2026-03-23 20:28:58] CONSULTA: Actual | CIUDAD: Cancun
[2026-03-23 20:29:56] CONSULTA: Actual | CIUDAD: Cancun
[2026-03-23 20:34:39] CONSULTA: Actual | CIUDAD: Tokyo
[2026-03-23 20:36:14] CONSULTA: Actual | CIUDAD: Tokyo
[2026-03-23 21:10:48] CONSULTA: Actual | CIUDAD: Tokyo
[2026-03-23 21:10:49] CONSULTA: Actual | CIUDAD: Tokyo
[2026-03-23 21:10:53] CONSULTA: Actual | CIUDAD: Rosario
[2026-03-23 21:12:37] CONSULTA: Extendido | CIUDAD: Rosario
[2026-03-23 21:12:37] CONSULTA: Actual | CIUDAD: Rosario
